Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');500.0;0.014;1.0;0.174;689.168;0.896
('ORB', 'NORM_HAMMING2');500.0;0.008;1.0;0.115;685.855;0.846
('ORB', 'NORM_L2SQR');500.0;0.102;1.0;0.189;689.168;0.896
('ORB', 'FLANN_LSH');500.0;0.036;1.0;0.158;663.108;0.839
('FAST+ORB', 'BF_L2');32727.0;0.024;0.923;0.187;706.218;0.941
('FAST+ORB', 'NORM_HAMMING2');32727.0;0.008;0.923;0.104;707.499;0.891
('FAST+ORB', 'NORM_L2SQR');32727.0;0.139;0.923;0.145;706.218;0.941
('FAST+ORB', 'FLANN_LSH');32727.0;0.013;0.923;0.135;708.718;0.892
('FAST+BRISK', 'BF_L2');33490.0;0.008;0.923;0.674;721.042;0.905
('FAST+BRISK', 'NORM_HAMMING2');33490.0;0.005;0.923;0.831;727.615;0.875
('FAST+BRISK', 'NORM_L2SQR');33490.0;0.075;0.923;0.54;721.042;0.905
('FAST+BRISK', 'FLANN_LSH');33490.0;0.013;0.923;0.778;726.238;0.88
('KAZE', 'BF_L2');11514.0;0.007;1.035;5.154;765.512;0.914
('KAZE', 'NORM_L2SQR');11514.0;0.069;1.035;5.165;765.512;0.914
('KAZE', 'FLANN_KDTree');11514.0;0.022;1.035;3.53;765.373;0.904
('KAZE', 'FLANN_KMeans');11514.0;0.007;1.035;5.281;765.512;0.914
('AKAZE', 'BF_L2');10122.0;0.008;1.038;1.548;737.377;0.88
('AKAZE', 'NORM_HAMMING2');10122.0;0.009;1.038;0.678;744.649;0.84
('AKAZE', 'NORM_L2SQR');10122.0;0.079;1.038;0.653;737.377;0.88
('AKAZE', 'FLANN_LSH');10122.0;0.023;1.038;0.651;739.286;0.844
('GFTT+ORB', 'BF_L2');877.0;0.011;1.0;0.082;901.223;0.908
('GFTT+ORB', 'NORM_HAMMING2');877.0;0.002;1.0;0.077;897.401;0.863
('GFTT+ORB', 'NORM_L2SQR');877.0;0.121;1.0;0.076;901.223;0.908
('GFTT+ORB', 'FLANN_LSH');877.0;0.03;1.0;0.076;892.346;0.856
('GFTT+BRISK', 'BF_L2');935.0;0.003;1.0;0.088;897.004;0.856
('GFTT+BRISK', 'NORM_HAMMING2');935.0;0.006;1.0;0.09;873.049;0.824
('GFTT+BRISK', 'NORM_L2SQR');935.0;0.048;1.0;0.087;897.004;0.856
('GFTT+BRISK', 'FLANN_LSH');935.0;0.024;1.0;0.087;876.934;0.82
('SIFT', 'BF_L2');12453.0;0.018;1.169;0.962;767.49;0.837
('SIFT', 'NORM_L2SQR');12453.0;0.105;1.169;1.161;767.49;0.837
('SIFT', 'FLANN_KDTree');12453.0;0.032;1.169;0.942;767.127;0.823
('SIFT', 'FLANN_KMeans');12453.0;0.018;1.169;1.172;767.49;0.837
